HEX ID,DATE,CHANGES,,"git log --since=""2024-01-01"" --pretty=format:'%h,%an,%ar,%s' > log.csv",,,,,,,,,
b6d2da2,4 months ago,deficiency document notice,,,,,,,,,,,
abc4962,4 months ago,add select2 to add vessel,,,,,,,,,,,
1ba066d,4 months ago,select 2 for filters,,,,,,,,,,,
939c975,4 months ago,make vessel type dropdown,,,,,,,,,,,
a0ccd59,4 months ago,vessel filter,,,,,,,,,,,
68f7d42,4 months ago,fix own column last sign offg,,,,,,,,,,,
b20ef84,4 months ago,show disembarkation date,,,,,,,,,,,
aec7a86,4 months ago,status filter,,,,,,,,,,,
e8c3545,4 months ago,fix,,,,,,,,,,,
53e7faf,4 months ago,fix,,,,,,,,,,,
4ca5b9a,4 months ago,fix error candidates if TBN vessel,,,,,,,,,,,
8b877c4,4 months ago,fix scpaing,,,,,,,,,,,
f14e24d,5 months ago,revert harbour link,,,,,,,,,,,
54faebe,5 months ago,fix,,,,,,,,,,,
18d0a85,5 months ago,fix hmm biodata if rank is ecdt,,,,,,,,,,,
396c5c5,5 months ago,fix,,,,,,,,,,,
338690e,5 months ago,try,,,,,,,,,,,
5d7937d,5 months ago,fix,,,,,,,,,,,
ca83182,5 months ago,fix,,,,,,,,,,,
762b52c,5 months ago,replace counting formula,,,,,,,,,,,
79ff4db,5 months ago,fix,,,,,,,,,,,
310b8e7,5 months ago,fix,,,,,,,,,,,
c061b49,5 months ago,fix,,,,,,,,,,,
a2d5c06,5 months ago,modify report,,,,,,,,,,,
1f16343,5 months ago,revise hmm on off,,,,,,,,,,,
8aaaf49,5 months ago,add year_built in sea service using smc,,,,,,,,,,,
a8ae358,5 months ago,update form change term and some 1 0,,,,,,,,,,,
70f7085,5 months ago,add partner in next of kin,,,,,,,,,,,
dcfb856,5 months ago,fix error if no line up contract,,,,,,,,,,,
a2f3a21,5 months ago,day to days,,,,,,,,,,,
a649bd9,5 months ago,Fix,,,,,,,,,,,
07ffbbd,5 months ago,fix,,,,,,,,,,,
009fc88,5 months ago,fix,,,,,,,,,,,
2b8f5da,5 months ago,update sea service cert add on board details,,,,,,,,,,,
e39921a,5 months ago,revise glovis countess,,,,,,,,,,,
86c9c93,5 months ago,final checklist of eboy and dboy,,,,,,,,,,,
09d85f1,5 months ago,fix,,,,,,,,,,,
75425cd,5 months ago,fix,,,,,,,,,,,
057e3b5,5 months ago,bypass ss,,,,,,,,,,,
3cd4be6,5 months ago,fix,,,,,,,,,,,
c18eb98,5 months ago,checklist for GE,,,,,,,,,,,
8611938,5 months ago,fix,,,,,,,,,,,
63e6246,5 months ago,mlc revision kosco,,,,,,,,,,,
854d23c,5 months ago,crewing can see candidates,,,,,,,,,,,
19845af,5 months ago,fix,,,,,,,,,,,
18f82b4,5 months ago,fix,,,,,,,,,,,
17fdda3,5 months ago,custom for 2ae lazo all ss,,,,,,,,,,,
165afe0,5 months ago,fix requirement error if null file,,,,,,,,,,,
789c37f,5 months ago,permission to ro,,,,,,,,,,,
c348926,5 months ago,fix,,,,,,,,,,,
8692c67,5 months ago,mlc revision metis,,,,,,,,,,,
3bbd478,5 months ago,fix docu final checklist if vacation,,,,,,,,,,,
c7ca7b5,5 months ago,temporary harbourlink from nautica,,,,,,,,,,,
759f4c5,6 months ago,page 2 harbour link biodata,,,,,,,,,,,
8af036d,6 months ago,ftr rank fleet d,,,,,,,,,,,
8e05fd0,6 months ago,page 1 harbour link,,,,,,,,,,,
1f87138,6 months ago,add partner in selectiong,,,,,,,,,,,
d26148c,6 months ago,kosco revision mlc,,,,,,,,,,,
7b1afe9,6 months ago,fix,,,,,,,,,,,
1ea7555,6 months ago,fix computation,,,,,,,,,,,
0467cc2,6 months ago,revision,,,,,,,,,,,
4a921df,6 months ago,fix,,,,,,,,,,,
82b4566,6 months ago,fix:,,,,,,,,,,,
323f56c,6 months ago,fix,,,,,,,,,,,
f97a4d9,6 months ago,fix sea service cert no mi,,,,,,,,,,,
9a66a62,6 months ago,docu checklist for abd and abe,,,,,,,,,,,
c273185,6 months ago,add ship manager details for toei,,,,,,,,,,,
fd370b7,6 months ago,add ship manager details in vessel,,,,,,,,,,,
618f112,6 months ago,hmm fix vessel name has ampersand in sea service so fix,,,,,,,,,,,
5b096bb,6 months ago,klcsm crew proposal form,,,,,,,,,,,
80b9dda,6 months ago,fix format and decimal,,,,,,,,,,,
1f55b15,6 months ago,fix,,,,,,,,,,,
cc1dd3a,6 months ago,fix dollar sign,,,,,,,,,,,
fe77c66,6 months ago,automatic got or fot,,,,,,,,,,,
7f0bd6a,6 months ago,rd team list of candidates part 1,,,,,,,,,,,
bb39ca3,6 months ago,fix,,,,,,,,,,,
ca43568,6 months ago,fix error biodata if no rank,,,,,,,,,,,
26fd606,6 months ago,fix toei naming convention,,,,,,,,,,,
d6b1151,6 months ago,fix toei messman with higher license biodata,,,,,,,,,,,
58b9246,6 months ago,remove +-,,,,,,,,,,,
c271ff8,6 months ago,fix,,,,,,,,,,,
5d00063,6 months ago,browse crew using keyboard,,,,,,,,,,,
d892efc,6 months ago,revert,,,,,,,,,,,
b2abf30,6 months ago,fix fleet d template master if on vacation docu checklist final,,,,,,,,,,,
b785216,6 months ago,sinocrew als singapore fleet b mlc,,,,,,,,,,,
7035b6a,6 months ago,idk,,,,,,,,,,,
0bb28cb,6 months ago,fix,,,,,,,,,,,
7b85140,6 months ago,fix,,,,,,,,,,,
abf032c,6 months ago,fix mlc fleet c hmm,,,,,,,,,,,
b195b32,7 months ago,kosco mlc revision dong a metis,,,,,,,,,,,
f4f1dfd,7 months ago,mld daebo fleet b change provision,,,,,,,,,,,
6bc7a6a,7 months ago,fix nautica if no rank,,,,,,,,,,,
